;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;                            ;;
;; CGPE 2010: Opinion Lexicon ;;
;;                            ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

palabra	sentimiento	n
reforma	positivo	
crédito	positivo	
económico	positivo	
crisis	negativo	
deuda	negativo	
disminución	negativo	
caída	negativo	
recuperación	positivo	
importante	positivo	
largo	negativo	
ahorro	positivo	
objeto	negativo	
pobreza	negativo	
crudo	negativo	
apoyo	positivo	
mejorar	positivo	
situación	negativo	
riesgo	negativo	
valor	positivo	
eficiente	positivo	
integral	positivo	
superior	positivo	
confianza	positivo	
cobertura	negativo	
ahorros	positivo	
consistente	positivo	
capacidad	positivo	
cumplimiento	positivo	
lograr	positivo	
responsabilidad	negativo	
volatilidad	negativo	
flexibilidad	positivo	
obras	positivo	
trabajo	negativo	
carga	negativo	
equilibrio	positivo	
inferior	negativo	
deterioro	negativo	
legal	positivo	
brote	negativo	
bruto	negativo	
estabilidad	positivo	
falta	negativo	
particularmente	negativo	
seguro	positivo	
contención	negativo	
espectro	negativo	
protección	positivo	
recesión	negativo	
rendición	negativo	
solvencia	positivo	
tesoro	positivo	
ausencia	negativo	
mejora	positivo	
negativa	negativo	
popular	positivo	
reforzar	positivo	
significativo	positivo	
asegurar	positivo	
facilitar	positivo	
humano	positivo	
proteger	positivo	
afectado	positivo	
beneficio	positivo	
colapso	negativo	
crimen	negativo	
estable	positivo	
estímulo	positivo	
adecuado	positivo	
contrario	negativo	
debilidad	negativo	
evitar	negativo	
fuerte	negativo	
pérdida	negativo	
aprobación	positivo	
consideración	positivo	
delincuencia	negativo	
eliminación	negativo	
esfuerzos	negativo	
favorable	positivo	
logro	positivo	
lucha	negativo	
preciso	positivo	
restricción	negativo	
riqueza	positivo	
adverso	negativo	
dirección	positivo	
disposición	positivo	
evasión	negativo	
flexible	positivo	
garantía	positivo	
perturbación	negativo	
realizado	positivo	
respeto	positivo	
aversión	negativo	
duda	negativo	
epidemia	negativo	
ganancia	positivo	
hábil	positivo	
insostenible	negativo	
insuficiente	negativo	
limitado	negativo	
ordenado	positivo	
racional	positivo	
epidemia	negativo	
satisfacer	positivo	
simplificar	positivo	
sólido	positivo	
suficiente	positivo	
urgente	negativo	
vigilancia	negativo	
alentar	positivo	
avanzado	positivo	
competitivo	positivo	
concesión	negativo	
continuidad	positivo	
conveniente	positivo	
corrupción	negativo	
desfavorable	negativo	
desigualdad	negativo	
elevar	positivo	
emergencia	negativo	
energético	positivo	
escasez	negativo	
explotar	negativo	
favorecer	positivo	
incumplimiento	negativo	
inhibir	negativo	
lapso	negativo	
marginal	negativo	
parcial	negativo	
previsión	positivo	
procesar	negativo	
productivo	positivo	
revertir	negativo	
sed	negativo	
transparente	positivo	
variedad	positivo	
apenas	negativo	
apoyado	positivo	
apreciar	positivo	
aprobar	positivo	
articular	positivo	
autorizar	positivo	
caer	negativo	
claridad	positivo	
complejo	negativo	
complementario	positivo	
conducir	positivo	
dados	negativo	
deseable	positivo	
dificultades	negativo	
dinámica	positivo	
equilibrado	positivo	
estrecho	negativo	
expropiación	negativo	
extraordinario	positivo	
firme	negativo	
fortaleza	positivo	
innovación	positivo	
inseguridad	negativo	
justo	positivo	
libertad	positivo	
notable	positivo	
obstáculo	negativo	
pasivo	negativo	
peor	negativo	
prima	positivo	
propicio	positivo	
rápido	positivo	
saludable	positivo	
temor	positivo	
verdadero	positivo	
vicio	negativo	
virtuoso	positivo	
abrupto	negativo	
abuso	negativo	
aclarar	positivo	
acumulación	negativo	
ágil	positivo	
agotamiento	negativo	
amable	positivo	
ambicioso	positivo	
amenaza	negativo	
apalancamiento	positivo	
atracción	positivo	
atractivo	positivo	
azufre	negativo	
compatible	positivo	
competente	positivo	
complicado	negativo	
considerado	positivo	
contradicción	negativo	
daño	negativo	
declinante	negativo	
decremento	negativo	
deficiencia	negativo	
depósito	negativo	
desafío	negativo	
desalentar	negativo	
destino	positivo	
desviación	negativo	
deteriorarse	negativo	
detrimento	negativo	
difícil	negativo	
dignidad	positivo	
digno	positivo	
dilación	negativo	
disfrutar	positivo	
distorsión	negativo	
división	negativo	
eficaz	positivo	
emprendedor	positivo	
equitativo	positivo	
erosión	negativo	
escaso	negativo	
estrés	negativo	
excelencia	positivo	
excepcional	positivo	
excesivo	negativo	
éxito	positivo	
exitoso	positivo	
fácil	positivo	
facilidad	positivo	
formalmente	positivo	
formidable	positivo	
frío	negativo	
honestidad	positivo	
honorable	positivo	
huelga	negativo	
imparcialidad	positivo	
imponer	negativo	
inaceptable	negativo	
incapacidad	negativo	
incapaz	negativo	
incompleto	negativo	
ineficiente	negativo	
inexistente	negativo	
inminente	negativo	
inquietud	negativo	
insuficientemente	negativo	
irregularidad	negativo	
lento	negativo	
liberación	positivo	
limitación	negativo	
límite	negativo	
limón	negativo	
lógico	positivo	
mediocre	negativo	
mérito	positivo	
moderno	positivo	
muerte	negativo	
necesitado	negativo	
negativo	negativo	
ofensiva	negativo	
oportuno	positivo	
peligro	negativo	
pena	negativo	
persecución	negativo	
precisamente	positivo	
preocupación	negativo	
privilegiado	positivo	
problema	negativo	
progresivo	negativo	
próspero	positivo	
puesto	negativo	
radicalmente	negativo	
rápidamente	positivo	
rechazar	negativo	
resentido	negativo	
residuos	negativo	
resistencia	negativo	
restrictivo	negativo	
retroceso	negativo	
revelación	positivo	
rígido	negativo	
robusto	positivo	
romper	negativo	
sano	positivo	
sensible	positivo	
sesgo	negativo	
suprimir	negativo	
sustantivo	positivo	
unidad	positivo	
usado	negativo	
ventaja	positivo	
vicioso	negativo	
víctima	negativo	
virus	negativo	
pandemia	negativo	
vulnerable	negativo	
